state,district,favored,confidence,redistricting_voter_power,anti_gerrymandering_party,abs_power
TN,TN-HD-6,R,Safe,4.90E-08,D,4.89992E-08
TN,TN-HD-4,R,Safe,4.89E-08,D,4.88829E-08
TN,TN-HD-24,R,Safe,4.86E-08,D,4.86295E-08
UT,UT-HD-45,R,Lean,4.83E-08,D,4.82628E-08
NM,NM-SD-42,R,Safe,-4.80E-08,R,4.79772E-08
TN,TN-HD-2,R,Safe,4.79E-08,D,4.79271E-08
TN,TN-HD-95,R,Safe,4.78E-08,D,4.77696E-08
TN,TN-HD-12,R,Safe,4.76E-08,D,4.76235E-08
TN,TN-HD-8,R,Safe,4.76E-08,D,4.76173E-08
MA,MA-HD-33rd Middlesex,D,Safe,-4.76E-08,R,4.7614E-08
NM,NM-SD-33,R,Safe,-4.76E-08,R,4.7569E-08
TN,TN-HD-61,R,Safe,4.75E-08,D,4.74759E-08
TN,TN-HD-75,R,Safe,4.75E-08,D,4.7459E-08
MA,MA-HD-28th Middlesex,D,Safe,-4.73E-08,R,4.73183E-08
GA,GA-HD-41,D,Safe,4.72E-08,D,4.72309E-08
TN,TN-HD-71,R,Safe,4.71E-08,D,4.71157E-08
KY,KY-HD-67,D,Safe,4.71E-08,D,4.70561E-08
TN,TN-HD-14,R,Safe,4.68E-08,D,4.6806E-08
OR,OR-HD-39,R,Safe,-4.67E-08,R,4.67014E-08
MA,MA-HD-15th Worcester,D,Safe,-4.66E-08,R,4.66234E-08
OR,OR-HD-24,R,Safe,-4.66E-08,R,4.65838E-08
TN,TN-HD-16,R,Safe,4.64E-08,D,4.644E-08
MA,MA-HD-18th Middlesex,D,Safe,-4.62E-08,R,4.62058E-08
TN,TN-HD-78,R,Safe,4.59E-08,D,4.59254E-08
TN,TN-HD-69,R,Safe,4.58E-08,D,4.57882E-08
TN,TN-HD-23,R,Safe,4.57E-08,D,4.56951E-08
TN,TN-HD-43,R,Safe,4.55E-08,D,4.54739E-08
TN,TN-HD-27,R,Safe,4.54E-08,D,4.54409E-08
MA,MA-HD-11th Bristol,D,Safe,-4.54E-08,R,4.54408E-08
OR,OR-HD-15,R,Safe,-4.53E-08,R,4.53058E-08
MA,MA-HD-4th Middlesex,D,Safe,-4.52E-08,R,4.51644E-08
MA,MA-HD-7th Bristol,D,Safe,-4.51E-08,R,4.51172E-08
TN,TN-HD-31,R,Safe,4.50E-08,D,4.50257E-08
MA,MA-HD-16th Worcester,D,Safe,-4.49E-08,R,4.49293E-08
TN,TN-HD-63,R,Safe,4.49E-08,D,4.48928E-08
IL,IL-HD-76,D,Likely,-4.47E-08,R,4.46638E-08
MA,MA-HD-17th Middlesex,D,Safe,-4.46E-08,R,4.46315E-08
MA,MA-HD-5th Suffolk,D,Safe,-4.46E-08,R,4.45689E-08
MA,MA-HD-1st Norfolk,D,Safe,-4.42E-08,R,4.41705E-08
MA,MA-HD-6th Hampden,D,Safe,-4.42E-08,R,4.41571E-08
MA,MA-HD-16th Middlesex,D,Safe,-4.40E-08,R,4.39992E-08
MA,MA-HD-11th Middlesex,D,Safe,-4.40E-08,R,4.39648E-08
TN,TN-HD-40,R,Safe,4.38E-08,D,4.38447E-08
MA,MA-HD-8th Essex,D,Safe,-4.36E-08,R,4.36419E-08
UT,UT-HD-11,R,Likely,4.36E-08,D,4.36126E-08
MA,MA-HD-9th Middlesex,D,Safe,-4.36E-08,R,4.35972E-08
MA,MA-HD-19th Suffolk,D,Safe,-4.34E-08,R,4.34331E-08
